State;nb_elector;gouv;proba_dem
AL;9;R̩p.;0.38
AK;3;Ind.;0.41
AZ;11;R̩p.;0.46
AR;6;R̩p.;0.42
CA;55;D̩m.;0.6
CO;9;D̩m.;0.52
CT;7;D̩m.;0.59
DC;3;D̩m.;0.92
DE;3;D̩m.;0.59
FL;29;R̩p.;0.5
GA;16;R̩p.;0.45
HI;4;D̩m.;0.67
ID;4;R̩p.;0.35
IL;20;R̩p.;0.59
IN;11;R̩p.;0.46
IA;6;R̩p.;0.53
KS;6;R̩p.;0.4
KY;8;R̩p.;0.41
LS;8;D̩m.;0.42
ME;4;R̩p.;0.58
MD;10;R̩p.;0.61
MA;11;R̩p.;0.63
MI;16;R̩p.;0.55
MN;10;D̩m.;0.54
MS;6;R̩p.;0.43
MO;10;R̩p.;0.48
MT;3;D̩m.;0.45
NE;5;R̩p.;0.39
NV;6;R̩p.;0.53
NH;4;R̩p.;0.53
NJ;14;R̩p.;0.57
NM;5;R̩p.;0.55
NY;29;D̩m.;0.63
NC;15;D̩m.;0.48
ND;3;R̩p.;0.41
OH;18;R̩p.;0.51
OK;7;R̩p.;0.34
OR;7;D̩m.;0.57
PA;20;D̩m.;0.54
RI;4;D̩m.;0.63
SC;9;R̩p.;0.44
SD;3;R̩p.;0.43
TN;11;R̩p.;0.42
TX;38;R̩p.;0.42
UT;6;R̩p.;0.3
VT;3;R̩p.;0.66
VA;13;D̩m.;0.51
WA;12;D̩m.;0.57
WV;5;D̩m.;0.42
WI;10;R̩p.;0.54
WY;3;R̩p.;0.32
